GEOHASH,LATITUDE,LONGITUDE,hour,AVERAGE_SPEED,DISTRICT
sxkd5v,41.1630249023438,28.9984130859375,3,51.05882352941177,Sarıyer
sxkd5v,41.1630249023438,28.9984130859375,4,45.23529411764706,Sarıyer
sxkd5v,41.1630249023438,28.9984130859375,5,43.6,Sarıyer
sxkd5v,41.1630249023438,28.9984130859375,6,44.3448275862069,Sarıyer
sxkd5v,41.1630249023438,28.9984130859375,7,45.516129032258064,Sarıyer
sxkd5v,41.1630249023438,28.9984130859375,8,46.25806451612903,Sarıyer
sxkd5v,41.1630249023438,28.9984130859375,9,46.2258064516129,Sarıyer
sxkd5v,41.1630249023438,28.9984130859375,10,45.64516129032258,Sarıyer
sxkd5v,41.1630249023438,28.9984130859375,11,46.16129032258065,Sarıyer
sxkd5v,41.1630249023438,28.9984130859375,12,45.25806451612903,Sarıyer
sxkd5v,41.1630249023438,28.9984130859375,13,45.096774193548384,Sarıyer
sxkd5v,41.1630249023438,28.9984130859375,14,45.45161290322581,Sarıyer
sxkd5v,41.1630249023438,28.9984130859375,15,45.74193548387097,Sarıyer
sxkd5v,41.1630249023438,28.9984130859375,16,45.483870967741936,Sarıyer
sxkd5v,41.1630249023438,28.9984130859375,17,44.54838709677419,Sarıyer
sxkd5v,41.1630249023438,28.9984130859375,18,44.96774193548387,Sarıyer
sxkd5v,41.1630249023438,28.9984130859375,19,44.74193548387097,Sarıyer
sxkd5v,41.1630249023438,28.9984130859375,20,45.67741935483871,Sarıyer
sxkd5v,41.1630249023438,28.9984130859375,21,46.193548387096776,Sarıyer
sxkd5v,41.1630249023438,28.9984130859375,22,47.54838709677419,Sarıyer
sxkd5v,41.1630249023438,28.9984130859375,23,47.193548387096776,Sarıyer
sxkd5w,41.1685180664063,28.9874267578125,0,32.806451612903224,Sarıyer
sxkd5w,41.1685180664063,28.9874267578125,1,32.766666666666666,Sarıyer
sxkd5w,41.1685180664063,28.9874267578125,2,32.48,Sarıyer
sxkd5w,41.1685180664063,28.9874267578125,3,36.125,Sarıyer
sxkd5w,41.1685180664063,28.9874267578125,4,32.625,Sarıyer
sxkd5w,41.1685180664063,28.9874267578125,5,30.548387096774192,Sarıyer
sxkd5w,41.1685180664063,28.9874267578125,6,30.53333333333333,Sarıyer
sxkd5w,41.1685180664063,28.9874267578125,7,29.741935483870968,Sarıyer
sxkd5w,41.1685180664063,28.9874267578125,8,27.29032258064516,Sarıyer
